Datetime,Avg_Vol_Geo,Boro,street,holidays,Floor,Area (sq ft),Type_of_Project,project_active
2012-02-01,44.96696035242291,Bronx,MACOMBS ROAD,False,0,0,No_Project,False
2012-02-01,95.0635593220339,Bronx,MELROSE AVENUE,False,0,0,No_Project,False
2012-02-01,66.35714285714286,Bronx,EAST 138 STREET,False,0,0,No_Project,False
2012-02-01,70.86184210526316,Bronx,EAST 167 STREET,False,0,0,No_Project,False
2012-02-01,30.553846153846155,Bronx,EAST 169 STREET,False,0,0,No_Project,False
2012-02-01,33.62127659574468,Bronx,BROOK AVENUE,False,0,0,No_Project,False
2012-02-01,76.6468085106383,Bronx,3 AVENUE,False,0,0,No_Project,False
2012-02-01,27.3862660944206,Bronx,ST MARY'S STREET,False,0,0,No_Project,False
2012-02-01,34.91409691629956,Bronx,EAST 170 STREET,False,0,0,No_Project,False
2012-02-01,25.75347222222222,Bronx,CEDAR AVENUE,False,0,0,No_Project,False
2012-02-01,52.31477516059957,Bronx,WESTCHESTER AVENUE,False,0,0,No_Project,False
2012-02-01,29.153846153846157,Bronx,ST ANNS AVENUE,False,0,0,No_Project,False
2012-02-01,83.54310344827586,Bronx,EAST 149 STREET,False,0,0,No_Project,False
2012-02-01,214.8675958188153,Bronx,WEST FORDHAM ROAD,False,0,0,No_Project,False
2012-02-01,37.945169712793735,Bronx,JOHNSON AVENUE,False,0,0,No_Project,False
2012-02-01,56.227864583333336,Bronx,WEST 239 STREET,False,0,0,No_Project,False
2012-02-01,17.491935483870968,Bronx,EAST 161 STREET,False,0,0,No_Project,False
2012-02-01,101.99661590524536,Bronx,EAST 163 STREET,False,0,0,No_Project,False
2012-02-01,121.94979079497908,Bronx,NB BROADWAY APPR TO W 230 th ST,False,0,0,No_Project,False
2012-02-01,80.70588235294117,Bronx,NB BROADWAY APPR TO EXTER ST RIGHTSLIP RAMP,False,0,0,No_Project,False
2012-02-01,88.94,Bronx,DR M L KING JR BOULEVARD,False,0,0,No_Project,False
2012-02-01,20.868200836820083,Bronx,NB EXTERIOR ST RIGHT SLIP RAMP TO BROADWAY,False,0,0,No_Project,False
2012-02-01,170.63677130044843,Bronx,SB BROADWAY APPR TO W 230 th ST,False,0,0,No_Project,False
2012-02-01,60.5440414507772,Bronx,EAST TREMONT AVENUE,False,0,0,No_Project,False
2012-02-01,16.674718196457327,Bronx,TINTON AVENUE,False,0,0,No_Project,False
2012-02-01,51.50777202072539,Bronx,EAST TREMONT AVENUE,False,0,0,No_Project,False
2012-02-01,85.59243697478992,Bronx,EB W 230th ST APPR TO BROADWAY,False,0,0,No_Project,False
